type,PC1,PC2,quality
white,-34.93552228,1.28626421,6
white,10.71540733,-18.85295876,6
white,39.99860818,5.873005917,6
white,-50.31065934,-1.177492276,6
white,2.408461674,-4.397632813,6
white,9.944901417,-4.569334179,6
white,78.03060846,-3.549453964,5
white,31.9710542,-9.876074938,5
white,65.14907742,-1.901900858,5
white,-8.786651234,11.04918135,7
white,-35.73590203,-3.127310517,5
white,26.33383891,-0.06802888,7
white,38.33223628,5.275269189,6
white,61.7558262,10.65592083,8
white,-27.61272155,-26.25378694,6
white,4.223069336,0.255020131,5
white,61.75694116,10.66369181,8
white,38.26876663,-6.090220807,7
white,13.25833349,9.826612707,8
white,-26.86833177,-17.75646221,5
white,0.57228604,-19.56601679,6
white,-109.5491261,-8.048503568,6
white,-8.265587846,-2.304675442,6
white,-3.003511303,-3.765149847,6
white,9.973159694,-15.96445223,6
white,22.026961,8.090784431,7
white,-0.897054755,-15.59468296,6
white,94.49481096,-3.204706206,6
white,37.0752385,5.986905987,6
white,17.47404944,13.08983679,6
white,-37.27904591,-23.3321042,5
white,17.5814536,-9.715623977,5
white,-8.726700351,-12.67244449,5
white,-1.339993236,2.708207504,6
white,-14.57640962,6.78156511,5
white,-27.26808956,21.55338007,6
white,-26.32266957,21.82296224,6
white,-20.21006672,-12.65776623,6
white,-13.54540233,-5.810595169,6
white,-15.47283131,-6.339109335,6
white,-29.31004068,-4.949741633,7
white,-73.60425066,8.926497957,4
white,-74.30491848,7.698302793,5
white,-11.51599303,-6.196095045,5
white,-33.23927464,-13.26773262,6
white,11.89069911,7.366580254,7
white,57.09686906,1.089469454,7
white,27.31275022,11.5871605,6
white,4.430261571,4.275471395,6
white,-50.05341135,-19.950463,6
white,-73.85799932,-17.89603593,6
white,-13.70553058,12.06511945,6
white,59.73102082,6.044434151,6
white,23.08427813,15.60473467,6
white,15.01862184,-1.010895866,6
white,-8.348762499,-20.97948478,5
white,15.89887079,0.1731807,6
white,18.34810763,-1.229056036,5
white,14.82459134,-4.117285473,7
white,-47.35586037,34.67573638,5
white,41.1902406,6.08438878,8
white,34.50415095,-4.867202361,5
white,-106.4428684,-15.518374,6
white,-101.6491408,-11.70591797,5
white,-60.38629837,-20.60640714,5
white,69.86839497,-7.88168858,6
white,49.6557763,9.421540875,7
white,69.89027365,3.555806252,7
white,35.17332484,0.462250703,5
white,34.71322493,-4.932329204,5
white,22.82319124,5.182171413,6
white,-32.43989587,8.061072292,6
white,-28.99966394,4.592153521,5
white,-69.22369029,-11.54671584,6
white,-22.44342224,13.79146924,5
white,-19.02653406,12.65397063,6
white,-23.63369871,14.47976109,6
white,-71.73520388,15.89117401,6
white,-23.63371785,14.47958955,6
white,-109.9360158,1.136896592,5
white,-1.785197037,11.93244821,7
white,-2.052730118,12.89835062,7
white,-14.41504716,12.6121176,7
white,-106.478383,-0.902249718,6
white,-23.9370198,-15.51485857,6
white,60.60020285,-4.188165501,7
white,60.16064991,-15.47281266,4
white,-57.64534397,2.127482887,5
white,-31.7097975,21.56197342,5
white,-31.38269091,12.4016331,5
white,-34.58879656,0.292061737,5
